BusinessArea,Entity,Sub Entity,Attributes,Keys,Data Type,Length,Description,
Contract,Contract,,ContractId,PK,int32,,The unique identifier of a contract. A written agreement between two or more parties specifying the terms and conditions under which business obligations will be performed.,
Contract,Contract,,ContractDescription,,string,512,The description of the contract.,
Contract,Contract,,ContractSignedDate,,date,,The date that the Contract was signed.,
Contract,Contract,,ContractEffectiveStartDate,,date,,The date that the Contract goes into effect.,
Contract,Contract,,ContractEffectiveEndDate,,date,,The date that the Contract is terminated or expires.,
Contract,Contract,,ContractPeriodMonths,,int32,,The number of months that the contract is to be in effect.,
Contract,Contract,,AutomaticRenewalIndicator,,boolean,,Indicates that the Contract is to be automatically renewed upon expiration.,
Contract,Contract,,ContractTypeId,FK,int32,,The unique identifier of a Contract Type.,
Contract,Contract,,ReferenceId,,string,,The actual reference number or string used to identify a particular entity in a system or process.,
Contract,Contract,,ContactEvent,,,,,
Contract,Contract,,LeaseId,FK,,,,
Contract,Contract,,LandloardId,FK,int32,,The unique identifier of a landloard,
Contract,Contract,,GovernmentalBodyId,FK,int32,,,
Contract,Contract,Duration,DurationId,PK,int32,,Unique Id that describes a period of time in various units from seconds to years,
Contract,Contract,Duration,Description,,string,1024,A narrative description of this duration to be included IN ADDITION to the specific duration using the other attributes of this entity.,
Contract,Contract,Duration,Years,,string,,"the number of complete years in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, before any other duration attributes ",
Contract,Contract,Duration,Months,,string,,"the number of  complete months in this duration. When calcylating an end date by adding this duration to a start date, the number of years are added first, then the number of months, before any other duration attributes. ",
Contract,Contract,Duration,Weeks,,string,,"The number of complete weeks in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then the weeks, before any other duration attributes.",
Contract,Contract,Duration,Days,,string,,"The number of complete days in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then weeks, then days, then hours, before any other duration attributes. ",
Contract,Contract,Duration,Hours ,,string,,"The number of complete hours in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then weeks, then days, then hours, before any other duration attributes. ",
Contract,Contract,Duration,Minutes,,string,,"The number of complete minutes in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then weeks, then days, then hours, then minutes, before any other duration attributes ",
Contract,Contract,Duration,Seconds,,string,,"The number of complete seconds in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then weeks, then days, then hours, then minutes and finally seconds. ",
Contract,Contract,Duration,ContractId,FK,int32,,,
Contract,Contract,GovernmentalBody,GovernmentalBodyId,PK,int32,,The unique identifier of an Governmental Body.,
Contract,Contract,GovernmentalBody,TransactionId,FK,int32,,The unique identifier of a transaction,
RealEstate-Legal,Contract,GovernmentalBody,GovBodyName,,string,,,
RealEstate-Legal,Contract,GovernmentalBody,GovBodyAddress,,string,,,
RealEstate-Legal,Contract,GovernmentalBody,GovBodyURL,,string,,,
RealEstate-Legal,Contract,GovernmentalBody,ContractId,FK,int32,,The unique identifier of a contract,
RealEstate-Legal,Contract,PropertyConstuctionForm,FormId,PK,int32,,,
RealEstate-Legal,Contract,PropertyConstuctionForm,PhysicalFormType,,string,,"Other	The form of the property construction is not one of those specified.
Block	The property is a block comprising multiple units intended for separate occupancy by multiple tenants or owners
Residential block	A block of multiple residential units (including predominantly residential mixed use blocks with commercial use on the ground or lower floors).
Commercial block	A block of multiple commercial units (typically offices)
Discrete building	A discrete building with its own private entrance that is or was originially intended for occupancy by one tenant or owner, i.e. it was not built with the intention of multiple tenants or owners, even if it has now been divded for this use
House	A multi-storey dwelling designed for occupancy by one family group
Divided house	A multi-storey dwelling designed for occupancy by one family group but that has subsequently been converted to accommodate multiple family groups
Bungalow	A low dwelling designed for occupancy by one family group and having only one storey, or upper rooms set into the roof space
Dormer bungalow	A low dwelling designed for occupancy by one family group with upper rooms set into the roof space and dormer windows
Warehouse/store	A structure who primary purpose is for temporary or permanent storage. This may include distribution warehouses, barns etc.
Industrial	A property for industrial purposes, including manufacturing, processing and generating.
Office	An office building for the sole occupancy of one tenant or owner
Retail	A retail building occupied by one or more retail tenants or owners
Ancilliary	A secondary building with its own entrance and no entrance from the main bulding, typically detached from the main building and providing some supporting purpose to the main building or buildings on the same site.
Garage	A garage designed as a place to keep one or more cars
Boiler house	A building containing the boiler and associated plant
Workshop	A workshop.
Fuel store	A building for storing fuel, e.g. a wood or coal shed.",
Contract,Contract,PropertyConstuctionForm,PropertyId,FK,int32,,,
Contract,Contract,PropertyConstuctionForm,ContractId,FK,int32,,The unique identifier of a contract,
Contract,Lease,,LeaseId,PK,int32,,The unique identifier of a lease,
Document Management,Lease,,SendLeaseData,,,,,
Document Management,Lease,,Leassor,,,,,
Document Management,Lease,,LeassorId,FK,,,,
Document Management,Lease,SendLeaseContext,SendLeaseContextId,PK,int32,,,
Document Management,Lease,SendLeaseContext,LeaseId,FK,int32,,,
Document Management,Lease,SendLeaseContext,Description,,string ,," A free text description of why this lease is being summarised for the client, for example 'Lease report following acquisition' or 'Summary of lease granted",
Document Management,Lease,SendLeaseContext,TypeDescription ,,string ,," A further description to describe the type of lease transaction or activity that has taken place and given rise to this summary or report being provided, if the Transaction Type.Code does not adequately describe the data.",
Document Management,Lease,SendLeaseContext,TypeCode ,,string ,, The type of lease transaction or activity that has taken place and given rise to this summary or report being provided,
Document Management,Lease,SendLeaseAbstract,SendLeaseAbstractId,PK,int32,,,
Document Management,Lease,SendLeaseAbstract,LeaseAbstract ,,,A summary of the terms of the lease condensed to its important information.,,
Document Management,Lease,SendLeaseAbstract,AttachmentId,FK,int32,An electronic copy of a document that may be attached to a message.,,
Document Management,Lease,SendLeaseAbstract,leaseId,,,,,
Document Management,Lease,SendLease,SendLeaseId,PK,int32,,,
Document Management,Lease,SendLease,LeaseId,FK,int32,,,
Document Management,Lease,SendLease,Header ,,,,,
Document Management,Lease,SendLease,SendLeaseContext,,,,,
Document Management,Lease,SendLease,LegalAdvisor ,,,,,
Document Management,Lease,,ContractingOut,,string,,,
Document Management,Lease,,ResidentialLease,,string,,,
Document Management,Lease,,CommercialLease,,string,,,
Document Management,Lease,,OCLease,,string,,,
Document Management,Lease,,GrossLeasableArea,FK,string,,,
Document Management,Lease,MiscellaneousTenantCovenants,MiscellaneousTenantCovenantsId,PK,int32,Describes other miscellaneous provisions relating to the lease.,,
Document Management,Lease,MiscellaneousTenantCovenants,leaseId,FK,int32,,,
Document Management,Lease,MiscellaneousTenantCovenants,EstateRentcharge,,string,"If the lease contains an Estate rentcharge, refer to the clause, schedule or paragraph of a schedule in the lease that contains the estate rentcharge. This should meet the requirements of LR12 (see https://www.gov.uk/government/publications/prescribed-clauses-leases)",,
Document Management,Lease,MiscellaneousTenantCovenants,SaleNotices,,string,Describes the rights and conditions around which the landlord can erect for sale boards at the property.,,
Document Management,Lease,MiscellaneousTenantCovenants,LandlordsCosts,,string,Describes whether the Tenant has to pay landlords costs etc in respect of consents under the lease.,,
Document Management,Lease,MiscellaneousTenantCovenants,ComplianceWithStatuteIndicator,,boolean,Is the tenant required to comply with statute. Default is YES,,
Document Management,Lease,MiscellaneousTenantCovenants,PlanningRestrictionsCode,,string,Code describing restrictions on the tenant in respect of applying for planning permission.,,
Document Management,Lease,,MarketLeaseAssumptionTable,,string,,,
Document Management,Lease,,LeaseholdInformationFormSend,,string,,Leasehold Information Form Send use case rendition,
Document Management,Lease,,LeaseholdInformationForm,,string,,Leasehold Information Form Send use case rendition,
Document Management,Lease,,LeaseType,,string,,,
Document Management,Lease,,LeaseResponsibility,,string,,,
Document Management,Lease,,LeaseInformation,,string,,,
Document Management,Lease,,LeaseIncome,,decimal,,,
Document Management,Lease,,LeaseHistory,,string,,,
Document Management,Lease,,LeaseExpense,,string,,,
Document Management,Lease,,LeaseEventOrRight,,string,,,
Document Management,Lease,,LeaseContractDescription,,string,,,
Document Management,Lease,,LeaseConfirmation,,Boolean,,,
Document Management,Lease,,LeaseConcessions,,string,,,
Document Management,Lease,,LeaseCharges,,decimal,,,
Document Management,Lease,,LeaseCharacteristics,,string,,,
Document Management,Lease,,LeaseAbstract,,string,,,
Document Management,Lease,,LandLease,,string,,,
Document Management,Lease,,ComparableLeaseInformation,,string,,,
Document Management,Lease,,InterestLease,,string,,,
Document Management,Lease,,ComparableLease,,string,,,
Document Management,Lease,,AvailableLeaseSpace,,string,,,
Document Management,Lease,,ApartmentLeaseInformation,,string,,,
Document Management,Lease,,TenantId,FK,int32,,,
Document Management,Lease,,LandloardId,FK,int32,,The unique identifier of a Landloard.,
Document Management,Lease,SucceedingLease,SucceedinLeaseId,PK,int32,,,
Document Management,Lease,SucceedingLease,LeaseId,FK,int32,,,
Document Management,Lease,SucceedingLease,LeaseDate,,data ,,"The date on which the lease was completed (i.e. signed, dated and released between the parties). This is not the date on which rights of occupation commence, which is recorded as Lease Start Date. This should meet the requirements of LR1 (see https://www.gov.uk/government/publications/prescribed-clauses-leases",
Document Management,Lease,SucceedingLease,Description,,string ,,A text description of the Lease Type if the code value used is 'Other',
Document Management,Lease,SucceedingLease,AgreementTypeDescription ,,string ,,A text description of the Agreement Type if the code value used is 'Other',
Document Management,Lease,SucceedingLease,ContractedOutIndicator ,,boolean ,,YES means that the Lease is validly contracted out of the security of tenure provisions for business tenancies contained the Landlord & Tenant act 1954. YES would map to 'Outside' the Act.,
Document Management,Lease,SucceedingLease,AgreementTypeCode,,int32,,"The type of document being exchanged, e.g. Licence, Lease etc.",
Document Management,Lease,SucceedingLease,LeaseTypeDescription ,,String ,,A text description of the Lease Type if the code value used is 'Other',
Document Management,Lease,SucceedingLease,EarliestPossibleAssignmentDate ,,date,,The first date when the Tenant is allowed to assign the lease to a 3rd party,
Document Management,Lease,SucceedingLease,LawAppledCode,,int32,,Identification of law applied to commercial or residential lease. This is country specific,
Document Management,Lease,SucceedingLease,NewInPeriodCode,,int32,,Market specific data field. Indicates whether or not a new lease has been granted during the measurement period.,
Document Management,Lease,SucceedingLease,Reference ,,string,,A reference allocated to the Lease by any Party.,
Document Management,Lease,SucceedingLease,RentId,FK,int32,,,
Document Management,Lease,SucceedingLease,TenantId,FK,int32,,,
Document Management,Lease,SucceedingLease,ParkingId,FK,int32,,,
Document Management,Lease,SucceedingLease,PremiumOrInducement ,,decimal,,Describes an amount paid to induce a party to enter into a lease. This includes any contributions towards fit out works etc. This should meet the requirements of LR7 (see https://www.gov.uk/government/publications/prescribed-clauses-leases),
Document Management,Lease,SucceedingLease,TurnoverCertificates ,,string,,A list of certificates setting out turnover (i.e. sales) totals for specific periods. These may also be specified in the Torunover Rent section where available,
Document Management,Lease,SucceedingLease,ServiceCharge,,string,,Describes the regime in the lease for providing and charging for services in a multi-occupied building such as a shopping centre or office block.,
Document Management,Lease,SucceedingLease,OtherCharges ,,string,,"Any other regular charges payable under the lease. For example garden rent, separate licence fees for car parks supermarket trolley bays, if they don't have their own lease.",
Document Management,Lease,SucceedingLease,VATStatus ,,string,,Describes the rules relating to VAT within the Lease.,
Document Management,Lease,SucceedingLease,Break ,,string,,Describes the right of either or both parties regarding the early termination of the lease,
Document Management,Lease,SucceedingLease,CompletedAssignment ,,string,,Records completion of assignment of a lease (as opposed to describing what the lease says about any rights to assign). This includes the succession of dates for tracking ownership.,
Document Management,Lease,SucceedingLease,AttachmentId,,int32,,An electronic copy of a document that may be attached to a message.,
Document Management,Lease,SucceedingLease,NewLeaseUnder1995ActIndicator ,,Boolean ,, Is the lease a new tenancy under the provisions of the Landlord & Tenant (covenants) Act 1995? Most leases granted after 1 January 1996 will be new tenancies for the purposes of the Act. The default value is accordingly set to YES,
Document Management,Lease,SucceedingLease,VacancyDescription ,,String ,, Brief description about the vacancy.,
Document Management,Lease,SucceedingLease,ArrearsAction ,,String ,, Describes arrears recovery action in progress,
Document Management,Lease,SucceedingLease,Demise,,string,," A unique reference given to identify a particular demise in a system with the name of the entitiy that has allocated it, where Demise is defined as the physical space that is the area of a property that is the subject matter of the lease. In some systems Demise will = Unit but in some systems a Demise may be more than one Unit.",
Document Management,Lease,SucceedingLease,DemiseDescription ,,string,, The Address and Detailed description of the Premises which are the subject of the Lease. This should meet the requirements of LR4 (see https://www.gov.uk/government/publications/prescribed-clauses-leases),
Document Management,Lease,SucceedingLease,LegalJurisdiction ,,string,, Describes the legal system which governs the operation of the Lease.,
Document Management,Lease,SucceedingLease,OtherParty ,,string,," Any other party named in the lease. Specify the capacity for each Other Party, for example 'management company'. This should meet the requirements of LR3 (see https://www.gov.uk/government/publications/prescribed-clauses-leases), where these relate to the Original Parties on the lease",
Document Management,Lease,SucceedingLease,Use,,string,," Describes the activities allowed within the premises, as set out in the lease.",
Document Management,Lease,SucceedingLease,Alienation ,,string,," If the lease contains any of the alienation sub-components (other than for Notice of Dealing), complete LR8 by including the statement that the lease contains a provision that prohibits or restricts dispositions. This should meet the requirements of LR8 (see https://www.gov.uk/government/publications/prescribed-clauses-leases)",
Document Management,Lease,SucceedingLease,Decoration ,,string,, Details of the extent and frequency of the tenants obligation to redecorate. This Component can be repeated to describe decoration clauses with different frequencies.,
Document Management,Lease,SucceedingLease,AlterationsId,,int32,,,
Document Management,Lease,SucceedingLease,Charge ,,string,, Details of the tenants mortgage or charge over their interest in the lease.,
Document Management,Lease,SucceedingLease,ForfetiureEvents ,,string,, Lists events which can give rise to forfeiture (i.e. early termination on tenant default) of lease by the landlord,
Document Management,Lease,SucceedingLease,BanksGuarantee ,,string,, Describes a guarantee given by a bank building society or other financial institution in respect of obligations of a party,
Document Management,Lease,SucceedingLease,PrescribedStatement ,,String ,," Used if this lease includes a statement falling within LR5.1 If the lease contains a Prescribed Statement of the kind referred to in LR5.1 (Statements prescribed under rules 179 (dispositions in favour of a charity), 180 (dispositions by a charity) or 196 (leases under the Leasehold Reform, Housing and Urban Development Act 1993) of the Land Registration Rules 2003.), refer to the clause, schedule or paragraph of a schedule in the lease that contains the Prescribed Statement.This component can be ignored if there are no such statements. This should meet the requirements of LR5 (see https://www.gov.uk/government/publications/prescribed-clauses-leases)",
Document Management,Lease,SucceedingLease,PrescribedAct ,,string,," Used if this lease is made by reference to one of the prescribed Acts referred to in LR5.2 (Leasehold Reform Act 1967, Housing Act 1985, Housing Act 1988 or Housing Act 1996). Refer to the relevant Act.This component can be ignored if the lease is not made by reference to any of the relevant Acts. This should meet the requirements of LR5 (see https://www.gov.uk/government/publications/prescribed-clauses-leases)",
Document Management,Lease,SucceedingLease,DeclarationOfTrust,,string,," Declaration of Trust where there is more than one person comprising the Tenant. If the Tenant is one person, then this Component can be ignored. This should meet the requirements of LR14 (see https://www.gov.uk/government/publications/prescribed-clauses-leases)",
Document Management,Lease,SucceedingLease,ApplicationForStandardFormOfRestriction ,,string,, Give the full text of any standard form of restriction and the title against which it is to be entered. This should meet the requirements of LR13 (see https://www.gov.uk/government/publications/prescribed-clauses-leases),
Document Management,Lease,SucceedingLease,RestrictiveCovenants ,,string,, Restrictive covenants given in this lease by the Landlord in respect of land other than the Property. This should meet the requirements of LR10 (see https://www.gov.uk/government/publications/prescribed-clauses-leases),
Document Management,Lease,SucceedingLease,ChangeOfOwnership ,,string,," Records a change of ownership of the property, holding the previous Landlord's details along with the new Landlord, and the date on which the change occurred.",
Document Management,Lease,SucceedingLease,NextRentChangeDate ,,date,, This is the date at which the rent next changes,
Document Management,Lease,SucceedingLease,VacancyReasonCode,,string,, Theoretical Lease created when the Property/Unit is Vacant,
Document Management,Lease,SucceedingLease,OngoingDisputeIndicator ,,string,, Defines whether there are any ongoing dilapidations negotiations and insurance claims,
Document Management,Lease,SucceedingLease,MethodCode ,,string,, Identifies the method by which the rent in the lease will be settled.,
Document Management,Lease,SucceedingLease,LeaseSystemReference ,,string,, A unique identifier for system use. This ID should remain constant for a particular item of data.,
Document Management,Lease,SucceedingLease,UnderManagementPeriod ,,decimal,, The period of time referring to Lease being under management.,
Document Management,Lease,SucceedingLease,LeaseCharges ,,string,," Each lease charge will have consequences for the cash transfer between the landlord and the lessee. The normal lease charge is rent, other examples are VAT, rent discount, annuity, service charges etc. A lease consists of 1 or multiple lease charges.",
Document Management,Lease,SucceedingLease,DebtRecoveryAction ,,string,, Details about the Debt Recovery.,
Document Management,Lease,SucceedingLease,Guarantee ,,string,, Describes a guarantee given by a bank building society or other financial institution in respect of obligations of a party,
Document Management,Lease,SucceedingLease,BillingAddress,,string,, Billing Address for the Party associated with the Lease. The billing address of the tenant,
Document Management,Lease,SucceedingLease,ForServiceAddress ,,string,, For Service Address for the Party associated with the Lease,
Document Management,Lease,SucceedingLease,RecordedAddress,,string,, Recorded Address for the party associated with the Lease.,
Document Management,Lease,SucceedingLease,AdditionalInformation,,string,, Provides additional information regarding individual transactions,
Document Management,Lease,SucceedingLease,TenureType,,string,,  The type of tenure/rent that this lease is subject to,
Document Management,Lease,SucceedingLease,FirstDayOfTermDate,,date ,, The date of the first day of the Lease term. This may not necessarily be the same date that appears on the Lease as this date is always inclusive of the term start date. This is NOT the day from which the beginning of the term is calculated.,
Document Management,Lease,SucceedingLease,LastDayOfTermDate,,date ,, The date of the last day of the lease term. This may be expressed in the lease or may more often be inferred from the First Day of Term and the Lease Term.,
Document Management,Lease,SucceedingLease,TypeCode,,string,, The classification of a lease based on the services and payments associated with a lease,
Document Management,Lease,SucceedingLease,Comment,,string,, Comments relating to this lease,
Document Management,Lease,SucceedingLease,Insurance,,string,, The information pertaining to the required insurance coverage as specified in the subject lease.,
Document Management,Lease,SucceedingLease,InsuranceId,FK,int32,,,
Document Management,Lease,SucceedingLease,Option,,string,, Event - potential or actual - arising from the exercise of particular lease terms that may affect lease duration.,
Document Management,Lease,SucceedingLease,DurationId,FK,int32,,"The unique Identifier of the duratino of the lease, which may be measured in years, months, weeks, days or any combination",
Document Management,Lease,SucceedingLease,TitleId,FK,int32,,,
Document Management,Lease,LeaseHold,LeaseholdId,PK,int32,,,
Document Management,Lease,LeaseHold,LeaseId,FK,int32,,,
Document Management,Lease,LeaseHold,LeaseholdStartDate,,date,,,
Document Management,Lease,LeaseHold,LeaseholdEndDate,,date,,,
Document Management,Lease,LeaseHold,Lessor,,string,,,
Document Management,Lease,LeaseHold,Lessee,,string,,,
Document Management,Lease,LeaseholdImprovement,LeaseholdImprovementId,FK,int32,,The unique identifier of a Leasehold Improvement.,
Document Management,Lease,LeaseholdImprovement,AssetId,FK,int32,,The unique identifier of an Asset.,
Property & Equipment,Lease,LeaseholdImprovement,LeaseholdImprovementDescription,,int32,512,The description of the Leasehold Improvement Type.,
Property & Equipment,Lease,LeaseholdImprovement,LeaseholdImprovementPlannedStartDate,,string,,The planned date of the Leasehold Improvement.,
Property & Equipment,Lease,LeaseholdImprovement,LeaseholdImprovementActualStartDate,,date,,The date that the Leasehold Improvement was actually started.,
Property & Equipment,Lease,LeaseholdImprovement,LeaseholdImprovementCompletedDate,,date,,The date that the Leasehold Improvement was completed.,
Property & Equipment,Lease,LeaseholdImprovement,LeaseholdImprovementEstimatedCost,,date,,The estimated cost of the Leasehold Improvement.,
Property & Equipment,Lease,LeaseholdImprovement,LeaseholdImprovementActualCost,,decimal,,The actual cost of the Leasehold Improvement.,
Property & Equipment,Lease,LeaseholdImprovement,LeaseholdImprovementNote,,decimal,,"Notes, comments or additional information regarding the Leasehold Improvement.",
Property & Equipment,Lease,LeaseholdImprovement,LeaseholdImprovementTypeId,FK,string,1024,The unique identifier of a Leasehold Improvement Type.,
Property & Equipment,Lease,LeaseholdImprovement,VendorId,FK,int32,,The unique identifier of a Vendor.,
Property & Equipment,Lease,LeaseholdImprovement,LeaseId,FK,int32,,,
Property & Equipment,Lease,LeaseholdImprovement,ContractId,FK,int32,,The unique identifier of a Contract.,
Property & Equipment,Lease,LeaseholdImprovement,PropertyId,FK,int32,,,
Property & Equipment,Lease,LeaseholdImprovementType,LeaseholdImprovementTypeId,PK,int32,,The unique identifier of a Leasehold Improvement Type.,
Property & Equipment,Lease,LeaseholdImprovementType,PropertyId,FK,int32,,,
Property & Equipment,Lease,LeaseholdImprovementType,LeaseholdImprovementTypeName,,string,128,The name of a Leasehold Improvement Type.,
Property & Equipment,Lease,LeaseholdImprovementType,LeaseholdImprovementTypeDescription,,string,512,The description of a Leasehold Improvement Type.,
Property & Equipment,Lease,LeaseholdImprovementType,LeaseId,FK,int32,,,
Property & Equipment,Lease,SaleInformationLandLease,SaleInformationLandLeaseId,int32,,,,
Property & Equipment,Lease,SaleInformationLandLease,PropertyOnGroundLeaseIndicator,string,,,,
Document Management,Lease,SaleInformationLandLease,LeaseHoldId,FK,string,,,
Document Management,Lease,SaleInformationLandLease,LesseeHoldId,FK,string,,,
Document Management,Lease,SaleInformationLandLease,LesseeId,FK,int32,,,
Document Management,Lease,SaleInformationLandLease,ExpirationDate,date,,,,
Document Management,Lease,LeaseholdNotices,LeaseholdNoticesId,PK,int32,,,
Document Management,Lease,LeaseholdNotices,LandlordSellingNoticeDocumentStatus,,string,,,
Document Management,Lease,LeaseholdNotices,OtherNoticeDocumentStatus,,string,,,
Document Management,Lease,LeaseholdNotices,LandlordSellingNoticeIndicator,,boolean,,,
Document Management,Lease,LeaseholdNotices,OtherNoticeIndicator,,boolean,,,
Document Management,Lease,LeaseholdNotices,AttachmentId,FK,int32,,A file attachment (by inclusion or via a link) with associated metadata,
Document Management,Lease,LeaseholdNotices,LeaseId,Fk,int32,,,
Document Management,Lease,LeaseTerm,LeaseTermId,PK,int32,,Unique id of the duration of Leases.,
Document Management,Lease,LeaseTerm,AverageTermYears,,double,,"Average total contract lease term for existing tenants, in years. This number is weighted by tenant size and is calculated based on the tenants' lease commencement and expiration dates",
Document Management,Lease,LeaseTerm,AverageRemainingYears,,double,,"Average remaining contract lease term for existing tenants, in years. This number is weighted by tenant size and is calculated using the Date of Value and respective lease expiration dates",
Document Management,Lease,LeaseTerm,AverageMarketLeaseTermYears,,double,,"The average speculative lease term, in years, assumed for speculative tenants and market leasing assumptions. The averaged is weighted based on suite size.",
Document Management,Lease,LeaseTerm,LeaseId,FK,int32,,,
Property & Equipment,Property,,PropertyId,PK,int32,,The unique identifier of a Property.,
Property & Equipment,Property,,TitleHoldingId,FK,,,,
Property & Equipment,Property,,SubmitPropertyValuationData,,string,,,
Property & Equipment,Property,,BuildingId,FK ,int32,,,
Property & Equipment,Property,,PropertyLocationId,FK,int32,,,
Property & Equipment,Property,,SpaceId,FK,int32,,,
Property & Equipment,Property,,Site,,,,,
Property & Equipment,Property,,ServiceAssessmentOrInspectionActionItem,,,,,
Property & Equipment,Property,,ServiceAssessmentOrInspection,,,,,
Property & Equipment,Property,,LeaseId,FK,,,,
Property & Equipment,Property,,JobStatusUpdate,,,,,
Property & Equipment,Property,,ForwardStatusUpdate,,,,,
Property & Equipment,Property,,FloorId,FK,int32,,,
Property & Equipment,Property,,FinancialTransactionSummary,,,,,
Property & Equipment,Property,,FinancialTransactionSet,,,,,
Property & Equipment,Property,,EnergyPerformanceCertification,,,,,
Property & Equipment,Property,,ElectricalInstallationConditionReport,,,,,
Property & Equipment,Property,,DevelopmentExposure,,,,,
Property & Equipment,Property,,CurrentOption,,,,,
Property & Equipment,Property,,CurrentListing,,,,,
Property & Equipment,Property,,CurrentContract,,,,,
Property & Equipment,Property,,ComponentId,FK,int32,,,
Property & Equipment,Property,,CompletionDateProposalSend,,,,,
Property & Equipment,Property,,ComparableProperty,,,,,
Property & Equipment,Property,,ComparablePropertyId,FK,int32,,,
Property & Equipment,Property,,Comment,,string,,,
Property & Equipment,Property,,Categorization,,string,," A generic component to be used for categorising a Property by its location, region or statistical area.",
Property & Equipment,Property,,AttachmentId,FK,int32,,,
Property & Equipment,Property,,Addressid,FK,int32,,,
Property & Equipment,Property,,PropertyName,,sting,,,
Property & Equipment,Property,,PropertyDescription,,sting,,,
Property & Equipment,Property,,PropertySize,,int32,,,
Property & Equipment,Property,,PropertySizeUomId,,int32,,,
Property & Equipment,Property,,PropertyDevelopedAcreage,,int32,,,
Property & Equipment,Property,,PropertyUndevelopedAcreage,,int32,128,The name of the property.,
Property & Equipment,Property,,LocationId,FK,int32,512,"A description of the property. Ex: ""Spacious house is conveniently located in popular Briarcliff/Ridgefield Neighborhood - minutes to UNC/Duke, walking distance to pool and bus stop. Comfortable and flexible floor plan, guest suite with separate entrance, private backyard with hardwood trees, atrium breakfast area, screened porch, other fine features.""",
Property & Equipment,Property,,SurveyGraphic,,binary,,The size of the property.,
Property & Equipment,Property,,PropertyLegalDescription,,sting,,The unique identifier of a Unit Of Measure.,
Property & Equipment,Property,,PropertyNonLegalDescription,,sting,,The number of acres that are allocated or assignable to productive wells or wells capable of production.,
